Id	Part2B	Part2T	Part1	Scope	Language_Type	Ref_Name	Comment
alh				I	L	Alawa	
ali				I	L	Amaimon	
alj				I	L	Alangan	
alk				I	L	Alak	
all				I	L	Allar	
alm				I	L	Amblong	
aln				I	L	Gheg Albanian	
alo				I	L	Larike-Wakasihu	
alp				I	L	Alune	
alq				I	L	Algonquin	
alr				I	L	Alutor	
als				I	L	Tosk Albanian	
alt	alt	alt		I	L	Southern Altai	
alu				I	L	'Are'are	
alw				I	L	Alaba-K’abeena	
alx				I	L	Amol	
aly				I	L	Alyawarr	
alz				I	L	Alur	
ama				I	E	Amanayé	
amb				I	L	Ambo	
amc				I	L	Amahuaca	
ame				I	L	Yanesha'	
amf				I	L	Hamer-Banna	
amg				I	L	Amurdak	
amh	amh	amh	am	I	L	Amharic	
ami				I	L	Amis	
amj				I	L	Amdang	
amk				I	L	Ambai	
aml				I	L	War-Jaintia	
amm				I	L	Ama (Papua New Guinea)	
amn				I	L	Amanab	
amo				I	L	Amo	
amp				I	L	Alamblak	
amq				I	L	Amahai	
amr				I	L	Amarakaeri	
ams				I	L	Southern Amami-Oshima	
amt				I	L	Amto	
amu				I	L	Guerrero Amuzgo	
amv				I	L	Ambelau	
amw				I	L	Western Neo-Aramaic	
amx				I	L	Anmatyerre	
amy				I	L	Ami	
amz				I	E	Atampaya	
ana				I	E	Andaqui	
anb				I	E	Andoa	
anc				I	L	Ngas	
and				I	L	Ansus	
ane				I	L	Xârâcùù	
anf				I	L	Animere	
ang	ang	ang		I	H	Old English (ca. 450-1100)	
anh				I	L	Nend	
ani				I	L	Andi	
anj				I	L	Anor	
ank				I	L	Goemai	
anl				I	L	Anu-Hkongso Chin	
anm				I	L	Anal	
ann				I	L	Obolo	
ano				I	L	Andoque	
anp	anp	anp		I	L	Angika	
anq				I	L	Jarawa (India)	
anr				I	L	Andh	
ans				I	E	Anserma	
ant				I	L	Antakarinya	
anu				I	L	Anuak	
anv				I	L	Denya	
anw				I	L	Anaang	
anx				I	L	Andra-Hus	
any				I	L	Anyin	
anz				I	L	Anem	
aoa				I	L	Angolar	
aob				I	L	Abom	
aoc				I	L	Pemon	
aod				I	L	Andarum	
aoe				I	L	Angal Enen	
aof				I	L	Bragat	
aog				I	L	Angoram	
aoi				I	L	Anindilyakwa	
aoj				I	L	Mufian	
aok				I	L	Arhö	
aol				I	L	Alor	
aom				I	L	Ömie	
aon				I	L	Bumbita Arapesh	
aor				I	E	Aore	
aos				I	L	Taikat	
aot				I	L	Atong (India)	
aou				I	L	A'ou	
aox				I	L	Atorada	
aoz				I	L	Uab Meto	
apb				I	L	Sa'a	
apc				I	L	North Levantine Arabic	
apd				I	L	Sudanese Arabic	
ape				I	L	Bukiyip	
apf				I	L	Pahanan Agta	
apg				I	L	Ampanang	
aph				I	L	Athpariya	
api				I	L	Apiaká	
apj				I	L	Jicarilla Apache	
apk				I	L	Kiowa Apache	
apl				I	L	Lipan Apache	
apm				I	L	Mescalero-Chiricahua Apache	
apn				I	L	Apinayé	
apo				I	L	Ambul	
app				I	L	Apma	
apq				I	L	A-Pucikwar	
apr				I	L	Arop-Lokep	
aps				I	L	Arop-Sissano	
apt				I	L	Apatani	
apu				I	L	Apurinã	
apv				I	E	Alapmunte	
apw				I	L	Western Apache	
apx				I	L	Aputai	
apy				I	L	Apalaí	
apz				I	L	Safeyoka	
aqc				I	L	Archi	
aqd				I	L	Ampari Dogon	
aqg				I	L	Arigidi	
aqm				I	L	Atohwaim	
aqn				I	L	Northern Alta	
aqp				I	E	Atakapa	
aqr				I	L	Arhâ	
aqt				I	L	Angaité	
aqz				I	L	Akuntsu	
ara	ara	ara	ar	M	L	Arabic	
arb				I	L	Standard Arabic	
arc	arc	arc		I	A	Official Aramaic (700-300 BCE)	
ard				I	E	Arabana	
are				I	L	Western Arrarnta	
arg	arg	arg	an	I	L	Aragonese	
arh				I	L	Arhuaco	
ari				I	L	Arikara	
arj				I	E	Arapaso	
ark				I	L	Arikapú	
arl				I	L	Arabela	
arn	arn	arn		I	L	Mapudungun	
aro				I	L	Araona	
arp	arp	arp		I	L	Arapaho	
arq				I	L	Algerian Arabic	
arr				I	L	Karo (Brazil)	
ars				I	L	Najdi Arabic	
aru				I	E	Aruá (Amazonas State)	
arv				I	L	Arbore	
arw	arw	arw		I	L	Arawak	
arx				I	L	Aruá (Rodonia State)	
ary				I	L	Moroccan Arabic	
arz				I	L	Egyptian Arabic	
asa				I	L	Asu (Tanzania)	
asb				I	L	Assiniboine	
asc				I	L	Casuarina Coast Asmat	
ase				I	L	American Sign Language	
asf				I	L	Auslan	
asg				I	L	Cishingini	
ash				I	E	Abishira	
asi				I	L	Buruwai	
asj				I	L	Sari	
ask				I	L	Ashkun	
asl				I	L	Asilulu	
asm	asm	asm	as	I	L	Assamese	
asn				I	L	Xingú Asuriní	
aso				I	L	Dano	
asp				I	L	Algerian Sign Language	
asq				I	L	Austrian Sign Language	
asr				I	L	Asuri	
ass				I	L	Ipulo	
ast	ast	ast		I	L	Asturian	
asu				I	L	Tocantins Asurini	
asv				I	L	Asoa	
asw				I	L	Australian Aborigines Sign Language	
asx				I	L	Muratayak	
asy				I	L	Yaosakor Asmat	
asz				I	L	As	
ata				I	L	Pele-Ata	
atb				I	L	Zaiwa	
atc				I	E	Atsahuaca	
atd				I	L	Ata Manobo	
ate				I	L	Atemble	
atg				I	L	Ivbie North-Okpela-Arhe	
ati				I	L	Attié	
atj				I	L	Atikamekw	
atk				I	L	Ati	
atl				I	L	Mt. Iraya Agta	
atm				I	L	Ata	
atn				I	L	Ashtiani	
ato				I	L	Atong (Cameroon)	
atp				I	L	Pudtol Atta	
atq				I	L	Aralle-Tabulahan	
atr				I	L	Waimiri-Atroari	
ats				I	L	Gros Ventre	
att				I	L	Pamplona Atta	
atu				I	L	Reel	
atv				I	L	Northern Altai	
atw				I	L	Atsugewi	
atx				I	L	Arutani	
aty				I	L	Aneityum	
atz				I	L	Arta	
aua				I	L	Asumboa	
aub				I	L	Alugu	
auc				I	L	Waorani	
aud				I	L	Anuta	
aug				I	L	Aguna	
auh				I	L	Aushi	
aui				I	L	Anuki	
auj				I	L	Awjilah	
auk				I	L	Heyo	
aul				I	L	Aulua	
aum				I	L	Asu (Nigeria)	
aun				I	L	Molmo One	
auo				I	E	Auyokawa	
aup				I	L	Makayam	
auq				I	L	Anus	
aur				I	L	Aruek	
aut				I	L	Austral	
auu				I	L	Auye	
auw				I	L	Awyi	
aux				I	E	Aurá	
auy				I	L	Awiyaana	
auz				I	L	Uzbeki Arabic	
ava	ava	ava	av	I	L	Avaric	
avb				I	L	Avau	
avd				I	L	Alviri-Vidari	
ave	ave	ave	ae	I	A	Avestan	
avi				I	L	Avikam	
avk				I	C	Kotava	
avl				I	L	Eastern Egyptian Bedawi Arabic	
avm				I	E	Angkamuthi	
avn				I	L	Avatime	
avo				I	E	Agavotaguerra	
avs				I	E	Aushiri	
avt				I	L	Au	
avu				I	L	Avokaya	
avv				I	L	Avá-Canoeiro	
awa	awa	awa		I	L	Awadhi	
awb				I	L	Awa (Papua New Guinea)	
awc				I	L	Cicipu	
awe				I	L	Awetí	
awg				I	E	Anguthimri	
awh				I	L	Awbono	
awi				I	L	Aekyom	
awk				I	E	Awabakal	
awm				I	L	Arawum	
awn				I	L	Awngi	
awo				I	L	Awak	
awr				I	L	Awera	
aws				I	L	South Awyu	
awt				I	L	Araweté	
awu				I	L	Central Awyu	
awv				I	L	Jair Awyu	
aww				I	L	Awun	
awx				I	L	Awara	
awy				I	L	Edera Awyu	
axb				I	E	Abipon	
axe				I	E	Ayerrerenge	
axg				I	E	Mato Grosso Arára	
axk				I	L	Yaka (Central African Republic)	
axl				I	E	Lower Southern Aranda	
axm				I	H	Middle Armenian	
axx				I	L	Xârâgurè	
aya				I	L	Awar	
ayb				I	L	Ayizo Gbe	
ayc				I	L	Southern Aymara	
ayd				I	E	Ayabadhu	
aye				I	L	Ayere	
ayg				I	L	Ginyanga	
ayh				I	L	Hadrami Arabic	
ayi				I	L	Leyigha	
ayk				I	L	Akuku	
ayl				I	L	Libyan Arabic	
aym	aym	aym	ay	M	L	Aymara	
ayn				I	L	Sanaani Arabic	
ayo				I	L	Ayoreo	
ayp				I	L	North Mesopotamian Arabic	
ayq				I	L	Ayi (Papua New Guinea)	
ayr				I	L	Central Aymara	
ays				I	L	Sorsogon Ayta	
ayt				I	L	Magbukun Ayta	
ayu				I	L	Ayu	
ayz				I	L	Mai Brat	
aza				I	L	Azha	
azb				I	L	South Azerbaijani	
azd				I	L	Eastern Durango Nahuatl	
aze	aze	aze	az	M	L	Azerbaijani	
azg				I	L	San Pedro Amuzgos Amuzgo	
azj				I	L	North Azerbaijani	
azm				I	L	Ipalapa Amuzgo	
azn				I	L	Western Durango Nahuatl	
azo				I	L	Awing	
azt				I	L	Faire Atta	
azz				I	L	Highland Puebla Nahuatl	
baa				I	L	Babatana	
bab				I	L	Bainouk-Gunyuño	
bac				I	L	Badui	
bae				I	E	Baré	
baf				I	L	Nubaca	
bag				I	L	Tuki	
bah				I	L	Bahamas Creole English	
baj				I	L	Barakai	
bak	bak	bak	ba	I	L	Bashkir	
bal	bal	bal		M	L	Baluchi	
bam	bam	bam	bm	I	L	Bambara	
ban	ban	ban		I	L	Balinese	
bao				I	L	Waimaha	
bap				I	L	Bantawa	
bar				I	L	Bavarian	
bas	bas	bas		I	L	Basa (Cameroon)	
bau				I	L	Bada (Nigeria)	
bav				I	L	Vengo	
baw				I	L	Bambili-Bambui	
bax				I	L	Bamun	
bay				I	L	Batuley	
bba				I	L	Baatonum	
bbb				I	L	Barai	
bbc				I	L	Batak Toba	
bbd				I	L	Bau	
bbe				I	L	Bangba	
bbf				I	L	Baibai	
bbg				I	L	Barama	
bbh				I	L	Bugan	
bbi				I	L	Barombi	
bbj				I	L	Ghomálá'	
bbk				I	L	Babanki	
bbl				I	L	Bats	
bbm				I	L	Babango	
bbn				I	L	Uneapa	
bbo				I	L	Northern Bobo Madaré	
bbp				I	L	West Central Banda	
bbq				I	L	Bamali	
bbr				I	L	Girawa	
bbs				I	L	Bakpinka	
bbt				I	L	Mburku	
bbu				I	L	Kulung (Nigeria)	
bbv				I	L	Karnai	
bbw				I	L	Baba	
bbx				I	L	Bubia	
bby				I	L	Befang	
bca				I	L	Central Bai	
bcb				I	L	Bainouk-Samik	
bcc				I	L	Southern Balochi	
bcd				I	L	North Babar	
bce				I	L	Bamenyam	
bcf				I	L	Bamu	
bcg				I	L	Baga Pokur	
bch				I	L	Bariai	
bci				I	L	Baoulé	
bcj				I	L	Bardi	
bck				I	L	Bunuba	
bcl				I	L	Central Bikol	
bcm				I	L	Bannoni	
bcn				I	L	Bali (Nigeria)	
bco				I	L	Kaluli	
bcp				I	L	Bali (Democratic Republic of Congo)	
bcq				I	L	Bench	
bcr				I	L	Babine	
bcs				I	L	Kohumono	
bct				I	L	Bendi	
bcu				I	L	Awad Bing	
bcv				I	L	Shoo-Minda-Nye	
bcw				I	L	Bana	
bcy				I	L	Bacama	
bcz				I	L	Bainouk-Gunyaamolo	
bda				I	L	Bayot	
bdb				I	L	Basap	
bdc				I	L	Emberá-Baudó	
bdd				I	L	Bunama	
bde				I	L	Bade	
bdf				I	L	Biage	
bdg				I	L	Bonggi	
bdh				I	L	Baka (South Sudan)	
bdi				I	L	Burun	
bdj				I	L	Bai (South Sudan)	
bdk				I	L	Budukh	
bdl				I	L	Indonesian Bajau	
bdm				I	L	Buduma	
bdn				I	L	Baldemu	
bdo				I	L	Morom	
bdp				I	L	Bende	
bdq				I	L	Bahnar	
bdr				I	L	West Coast Bajau	
bds				I	L	Burunge	
bdt				I	L	Bokoto	
bdu				I	L	Oroko	
bdv				I	L	Bodo Parja	
bdw				I	L	Baham	
bdx				I	L	Budong-Budong	
bdy				I	L	Bandjalang	
bdz				I	L	Badeshi	
bea				I	L	Beaver	
beb				I	L	Bebele	
bec				I	L	Iceve-Maci	
bed				I	L	Bedoanas	
bee				I	L	Byangsi	
bef				I	L	Benabena	
beg				I	L	Belait	
beh				I	L	Biali	
bei				I	L	Bekati'	
bej	bej	bej		I	L	Beja	
bek				I	L	Bebeli	
bel	bel	bel	be	I	L	Belarusian	
bem	bem	bem		I	L	Bemba (Zambia)	
ben	ben	ben	bn	I	L	Bengali	
beo				I	L	Beami	
bep				I	L	Besoa	
beq				I	L	Beembe	
bes				I	L	Besme	
bet				I	L	Guiberoua Béte	
beu				I	L	Blagar	
bev				I	L	Daloa Bété	
bew				I	L	Betawi	
bex				I	L	Jur Modo	
bey				I	L	Beli (Papua New Guinea)	
bez				I	L	Bena (Tanzania)	
bfa				I	L	Bari	
bfb				I	L	Pauri Bareli	
bfc				I	L	Panyi Bai	
bfd				I	L	Bafut	
bfe				I	L	Betaf	
bff				I	L	Bofi	
bfg				I	L	Busang Kayan	
bfh				I	L	Blafe	
bfi				I	L	British Sign Language	
bfj				I	L	Bafanji	
bfk				I	L	Ban Khor Sign Language	
bfl				I	L	Banda-Ndélé	
bfm				I	L	Mmen	
bfn				I	L	Bunak	
bfo				I	L	Malba Birifor	
bfp				I	L	Beba	
bfq				I	L	Badaga	
bfr				I	L	Bazigar	
bfs				I	L	Southern Bai	
bft				I	L	Balti	
bfu				I	L	Gahri	
bfw				I	L	Bondo	
bfx				I	L	Bantayanon	
bfy				I	L	Bagheli	
bfz				I	L	Mahasu Pahari	
bga				I	L	Gwamhi-Wuri	
bgb				I	L	Bobongko	
bgc				I	L	Haryanvi	
bgd				I	L	Rathwi Bareli	
bge				I	L	Bauria	
bgf				I	L	Bangandu	
bgg				I	L	Bugun	
bgi				I	L	Giangan	
bgj				I	L	Bangolan	
bgk				I	L	Bit	
bgl				I	L	Bo (Laos)	
bgn				I	L	Western Balochi	
bgo				I	L	Baga Koga	
bgp				I	L	Eastern Balochi	
bgq				I	L	Bagri	
bgr				I	L	Bawm Chin	
bgs				I	L	Tagabawa	
bgt				I	L	Bughotu	
bgu				I	L	Mbongno	
bgv				I	L	Warkay-Bipim	
bgw				I	L	Bhatri	
bgx				I	L	Balkan Gagauz Turkish	
bgy				I	L	Benggoi	
bgz				I	L	Banggai	
bha				I	L	Bharia	
bhb				I	L	Bhili	
bhc				I	L	Biga	
bhd				I	L	Bhadrawahi	
bhe				I	L	Bhaya	
bhf				I	L	Odiai	
bhg				I	L	Binandere	
bhh				I	L	Bukharic	
bhi				I	L	Bhilali	
bhj				I	L	Bahing	
bhl				I	L	Bimin	
bhm				I	L	Bathari	
bhn				I	L	Bohtan Neo-Aramaic	
bho	bho	bho		I	L	Bhojpuri	
bhp				I	L	Bima	
bhq				I	L	Tukang Besi South	
bhr				I	L	Bara Malagasy	
bhs				I	L	Buwal	
bht				I	L	Bhattiyali	
bhu				I	L	Bhunjia	
bhv				I	L	Bahau	
bhw				I	L	Biak	
bhx				I	L	Bhalay	
bhy				I	L	Bhele	
bhz				I	L	Bada (Indonesia)	
bia				I	L	Badimaya	
bib				I	L	Bissa	
bic				I	L	Bikaru	
bid				I	L	Bidiyo	
bie				I	L	Bepour	
bif				I	L	Biafada	
big				I	L	Biangai	
bij				I	L	Vaghat-Ya-Bijim-Legeri	
bik	bik	bik		M	L	Bikol	
bil				I	L	Bile	
bim				I	L	Bimoba	
bin	bin	bin		I	L	Bini	
bio				I	L	Nai	
bip				I	L	Bila	
biq				I	L	Bipi	
bir				I	L	Bisorio	
bis	bis	bis	bi	I	L	Bislama	
bit				I	L	Berinomo	
biu				I	L	Biete	
biv				I	L	Southern Birifor	
biw				I	L	Kol (Cameroon)	
bix				I	L	Bijori	
biy				I	L	Birhor	
biz				I	L	Baloi	
bja				I	L	Budza	
bjb				I	E	Banggarla	
bjc				I	L	Bariji	
bje				I	L	Biao-Jiao Mien	
bjf				I	L	Barzani Jewish Neo-Aramaic	
bjg				I	L	Bidyogo	
bjh				I	L	Bahinemo	
bji				I	L	Burji	
bjj				I	L	Kanauji	
bjk				I	L	Barok	
bjl				I	L	Bulu (Papua New Guinea)	
bjm				I	L	Bajelani	
bjn				I	L	Banjar	
bjo				I	L	Mid-Southern Banda	
bjp				I	L	Fanamaket	
bjr				I	L	Binumarien	
bjs				I	L	Bajan	
bjt				I	L	Balanta-Ganja	
bju				I	L	Busuu	
bjv				I	L	Bedjond	
bjw				I	L	Bakwé	
bjx				I	L	Banao Itneg	
bjy				I	E	Bayali	
bjz				I	L	Baruga	
bka				I	L	Kyak	
bkc				I	L	Baka (Cameroon)	
bkd				I	L	Binukid	
bkf				I	L	Beeke	
bkg				I	L	Buraka	
bkh				I	L	Bakoko	
bki				I	L	Baki	
bkj				I	L	Pande	
bkk				I	L	Brokskat	
bkl				I	L	Berik	
bkm				I	L	Kom (Cameroon)	
bkn				I	L	Bukitan	
bko				I	L	Kwa'	
bkp				I	L	Boko (Democratic Republic of Congo)	
bkq				I	L	Bakairí	
bkr				I	L	Bakumpai	
bks				I	L	Northern Sorsoganon	
bkt				I	L	Boloki	
bku				I	L	Buhid	
bkv				I	L	Bekwarra	
bkw				I	L	Bekwel	
bkx				I	L	Baikeno	
bky				I	L	Bokyi	
bkz				I	L	Bungku	
bla	bla	bla		I	L	Siksika	
blb				I	L	Bilua	
blc				I	L	Bella Coola	
bld				I	L	Bolango	
ble				I	L	Balanta-Kentohe	
blf				I	L	Buol	
blg				I	L	Balau	
blh				I	L	Kuwaa	
bli				I	L	Bolia	
blj				I	L	Bolongan	
blk				I	L	Pa'o Karen	
bll				I	E	Biloxi	
blm				I	L	Beli (South Sudan)	
bln				I	L	Southern Catanduanes Bikol	
blo				I	L	Anii	
blp				I	L	Blablanga	
blq				I	L	Baluan-Pam	
blr				I	L	Blang	
bls				I	L	Balaesang	
blt				I	L	Tai Dam	
blv				I	L	Kibala	
blw				I	L	Balangao	
blx				I	L	Mag-Indi Ayta	
bly				I	L	Notre	
blz				I	L	Balantak	
bma				I	L	Lame	
bmb				I	L	Bembe	
bmc				I	L	Biem	
bmd				I	L	Baga Manduri	
bme				I	L	Limassa	
bmf				I	L	Bom-Kim	
bmg				I	L	Bamwe	
bmh				I	L	Kein	
bmi				I	L	Bagirmi	
bmj				I	L	Bote-Majhi	
bmk				I	L	Ghayavi	
bml				I	L	Bomboli	
bmm				I	L	Northern Betsimisaraka Malagasy	
bmn				I	E	Bina (Papua New Guinea)	
bmo				I	L	Bambalang	
bmp				I	L	Bulgebi	
bmq				I	L	Bomu	
bmr				I	L	Muinane	
bms				I	L	Bilma Kanuri	
bmt				I	L	Biao Mon	
bmu				I	L	Somba-Siawari	
bmv				I	L	Bum	
bmw				I	L	Bomwali	
bmx				I	L	Baimak	
bmz				I	L	Baramu	
bna				I	L	Bonerate	
bnb				I	L	Bookan	
bnc				M	L	Bontok	
bnd				I	L	Banda (Indonesia)	
bne				I	L	Bintauna	
bnf				I	L	Masiwang	
bng				I	L	Benga	
bni				I	L	Bangi	
bnj				I	L	Eastern Tawbuid	
bnk				I	L	Bierebo	
bnl				I	L	Boon	
bnm				I	L	Batanga	
bnn				I	L	Bunun	
bno				I	L	Bantoanon	
bnp				I	L	Bola	
bnq				I	L	Bantik	
bnr				I	L	Butmas-Tur	
bns				I	L	Bundeli	
bnu				I	L	Bentong	
bnv				I	L	Bonerif	
bnw				I	L	Bisis	
bnx				I	L	Bangubangu	
bny				I	L	Bintulu	
bnz				I	L	Beezen	
boa				I	L	Bora	
bob				I	L	Aweer	
bod	tib	bod	bo	I	L	Tibetan	
boe				I	L	Mundabli	
bof				I	L	Bolon	
bog				I	L	Bamako Sign Language	
boh				I	L	Boma	
boi				I	E	Barbareño	
boj				I	L	Anjam	
bok				I	L	Bonjo	
bol				I	L	Bole	
bom				I	L	Berom	
bon				I	L	Bine	
boo				I	L	Tiemacèwè Bozo	
bop				I	L	Bonkiman	
boq				I	L	Bogaya	
bor				I	L	Borôro	
bos	bos	bos	bs	I	L	Bosnian	
bot				I	L	Bongo	
bou				I	L	Bondei	
bov				I	L	Tuwuli	
bow				I	E	Rema	
box				I	L	Buamu	
boy				I	L	Bodo (Central African Republic)	
boz				I	L	Tiéyaxo Bozo	
bpa				I	L	Daakaka	
bpd				I	L	Banda-Banda	
bpg				I	L	Bonggo	
bph				I	L	Botlikh	
bpi				I	L	Bagupi	
bpj				I	L	Binji	
bpk				I	L	Orowe	
bpl				I	L	Broome Pearling Lugger Pidgin	
bpm				I	L	Biyom	
bpn				I	L	Dzao Min	
bpo				I	L	Anasi	
bpp				I	L	Kaure	
bpq				I	L	Banda Malay	
bpr				I	L	Koronadal Blaan	
bps				I	L	Sarangani Blaan	
bpt				I	E	Barrow Point	
bpu				I	L	Bongu	
bpv				I	L	Bian Marind	
bpw				I	L	Bo (Papua New Guinea)	
bpx				I	L	Palya Bareli	
bpy				I	L	Bishnupriya	
bpz				I	L	Bilba	
bqa				I	L	Tchumbuli	
bqb				I	L	Bagusa	
bqc				I	L	Boko (Benin)	
bqd				I	L	Bung	
bqf				I	E	Baga Kaloum	
